m,p,ld
7.638655462184873457e-02,2.025210084033613467e-01,6.192660331726074219e-01
7.714285714285713802e-02,2.025210084033613467e-01,6.191250681877136230e-01
7.789915966386554147e-02,2.025210084033613467e-01,6.190456748008728027e-01
7.865546218487394492e-02,2.025210084033613467e-01,6.189715266227722168e-01
7.941176470588234837e-02,2.025210084033613467e-01,6.191151738166809082e-01
8.016806722689075182e-02,2.025210084033613467e-01,6.193814277648925781e-01
8.092436974789915527e-02,2.025210084033613467e-01,6.218992471694946289e-01
8.168067226890755872e-02,2.025210084033613467e-01,6.221973299980163574e-01
8.243697478991596217e-02,2.025210084033613467e-01,6.227098107337951660e-01
8.319327731092436562e-02,2.025210084033613467e-01,6.233646273612976074e-01
8.394957983193276907e-02,2.025210084033613467e-01,6.244007349014282227e-01
8.470588235294117252e-02,2.025210084033613467e-01,6.254286170005798340e-01
8.546218487394957597e-02,2.025210084033613467e-01,6.264874339103698730e-01
8.621848739495797942e-02,2.025210084033613467e-01,6.277936100959777832e-01
8.697478991596638287e-02,2.025210084033613467e-01,6.291577219963073730e-01
8.773109243697478632e-02,2.025210084033613467e-01,6.307411789894104004e-01
8.848739495798318977e-02,2.025210084033613467e-01,6.323820352554321289e-01
8.924369747899159322e-02,2.025210084033613467e-01,6.339200139045715332e-01
8.999999999999999667e-02,2.025210084033613467e-01,6.354472637176513672e-01
0.000000000000000000e+00,2.050420168067227100e-01,2.636546641588211060e-02
7.563025210084033416e-04,2.050420168067227100e-01,4.182718321681022644e-02
1.512605042016806683e-03,2.050420168067227100e-01,5.719202384352684021e-02
2.268907563025209916e-03,2.050420168067227100e-01,7.216937094926834106e-02
3.025210084033613366e-03,2.050420168067227100e-01,8.662548661231994629e-02
3.781512605042016816e-03,2.050420168067227100e-01,1.011877879500389099e-01
4.537815126050419832e-03,2.050420168067227100e-01,1.147387325763702393e-01
5.294117647058823282e-03,2.050420168067227100e-01,1.277676969766616821e-01
6.050420168067226732e-03,2.050420168067227100e-01,1.404419839382171631e-01
6.806722689075630182e-03,2.050420168067227100e-01,1.527263224124908447e-01
7.563025210084033632e-03,2.050420168067227100e-01,1.649464368820190430e-01
8.319327731092436215e-03,2.050420168067227100e-01,1.771061718463897705e-01
9.075630252100839665e-03,2.050420168067227100e-01,1.893413215875625610e-01
9.831932773109243115e-03,2.050420168067227100e-01,2.014985382556915283e-01
1.058823529411764656e-02,2.050420168067227100e-01,2.135726660490036011e-01
1.134453781512605001e-02,2.050420168067227100e-01,2.257116585969924927e-01
1.210084033613445346e-02,2.050420168067227100e-01,2.376457750797271729e-01
1.285714285714285691e-02,2.050420168067227100e-01,2.496709972620010376e-01
1.361344537815126036e-02,2.050420168067227100e-01,2.622827887535095215e-01
1.436974789915966381e-02,2.050420168067227100e-01,2.746218442916870117e-01
1.512605042016806726e-02,2.050420168067227100e-01,2.860704958438873291e-01
1.588235294117646898e-02,2.050420168067227100e-01,2.982988953590393066e-01
1.663865546218487243e-02,2.050420168067227100e-01,3.103257119655609131e-01
1.739495798319327588e-02,2.050420168067227100e-01,3.223005831241607666e-01
1.815126050420167933e-02,2.050420168067227100e-01,3.343617916107177734e-01
1.890756302521008278e-02,2.050420168067227100e-01,3.458493053913116455e-01
1.966386554621848623e-02,2.050420168067227100e-01,3.568809032440185547e-01
2.042016806722688968e-02,2.050420168067227100e-01,3.677623569965362549e-01
2.117647058823529313e-02,2.050420168067227100e-01,3.781544268131256104e-01
2.193277310924369658e-02,2.050420168067227100e-01,3.881716132164001465e-01
2.268907563025210003e-02,2.050420168067227100e-01,3.975049555301666260e-01
2.344537815126050348e-02,2.050420168067227100e-01,4.062045216560363770e-01
2.420168067226890693e-02,2.050420168067227100e-01,4.142085015773773193e-01
2.495798319327731038e-02,2.050420168067227100e-01,4.220376610755920410e-01
2.571428571428571383e-02,2.050420168067227100e-01,4.294529855251312256e-01
2.647058823529411728e-02,2.050420168067227100e-01,4.365875422954559326e-01
2.722689075630252073e-02,2.050420168067227100e-01,4.439440071582794189e-01
2.798319327731092418e-02,2.050420168067227100e-01,4.511455893516540527e-01
2.873949579831932763e-02,2.050420168067227100e-01,4.573550820350646973e-01
2.949579831932773108e-02,2.050420168067227100e-01,4.636616408824920654e-01
3.025210084033613453e-02,2.050420168067227100e-01,4.698501527309417725e-01
3.100840336134453798e-02,2.050420168067227100e-01,4.755178987979888916e-01
3.176470588235293796e-02,2.050420168067227100e-01,4.811048507690429688e-01
3.252100840336134141e-02,2.050420168067227100e-01,4.891587197780609131e-01
3.327731092436974486e-02,2.050420168067227100e-01,4.947380125522613525e-01
