"PointID","x","y","Density","Momentum_x","Momentum_y","Energy"
128, 3.095096287838834e-01, 1.469692047458676e-01, 8.507030390939122e-01, 0.000000000000000e+00, 0.000000000000000e+00, 6.326769563783477e+00
129, 3.125047641536217e-01, 1.469968183552592e-01, 8.508315564755169e-01, 0.000000000000000e+00, 0.000000000000000e+00, 6.328040112629905e+00
130, 3.155000009015763e-01, 1.470092863277733e-01, 8.510004400006308e-01, 0.000000000000000e+00, 0.000000000000000e+00, 6.329616624065691e+00
131, 3.184952626032670e-01, 1.470066073222083e-01, 8.511477899260564e-01, 0.000000000000000e+00, 0.000000000000000e+00, 6.331047648698237e+00
132, 3.214904722782339e-01, 1.469888225301873e-01, 8.513252053218500e-01, 0.000000000000000e+00, 0.000000000000000e+00, 6.332660401673657e+00
133, 3.244855525818479e-01, 1.469556459041487e-01, 8.515975177011185e-01, 0.000000000000000e+00, 0.000000000000000e+00, 6.334919711681881e+00
134, 3.274805080384786e-01, 1.469126425196736e-01, 8.518706512694795e-01, 0.000000000000000e+00, 0.000000000000000e+00, 6.337195658017355e+00
135, 3.304753465221837e-01, 1.468620913361415e-01, 8.521994492497689e-01, 0.000000000000000e+00, 0.000000000000000e+00, 6.339904908876870e+00
136, 3.334700614937157e-01, 1.468046798719720e-01, 8.525285391747008e-01, 0.000000000000000e+00, 0.000000000000000e+00, 6.342629563030866e+00
137, 3.364646347557687e-01, 1.467402985485822e-01, 8.528753741423974e-01, 0.000000000000000e+00, 0.000000000000000e+00, 6.345492032377158e+00
138, 3.394590510619211e-01, 1.466689967132161e-01, 8.532272429573083e-01, 0.000000000000000e+00, 0.000000000000000e+00, 6.348392859794849e+00
139, 3.424532960584272e-01, 1.465908235009734e-01, 8.535962898479407e-01, 0.000000000000000e+00, 0.000000000000000e+00, 6.351430359726911e+00
140, 3.454473550976828e-01, 1.465058268932714e-01, 8.539530960386338e-01, 0.000000000000000e+00, 0.000000000000000e+00, 6.354383134618389e+00
141, 3.484412139948684e-01, 1.464140539149757e-01, 8.543147822319687e-01, 0.000000000000000e+00, 0.000000000000000e+00, 6.357349767203924e+00
142, 3.514348591748453e-01, 1.463155507170303e-01, 8.546943986765609e-01, 0.000000000000000e+00, 0.000000000000000e+00, 6.360410186121516e+00
143, 3.544282768366269e-01, 1.462103632528483e-01, 8.550652424448911e-01, 0.000000000000000e+00, 0.000000000000000e+00, 6.363373573653104e+00
144, 3.574214538933041e-01, 1.460985371054857e-01, 8.554794244045461e-01, 0.000000000000000e+00, 0.000000000000000e+00, 6.366662639541079e+00
145, 3.604143772005489e-01, 1.459801164401301e-01, 8.558875745660911e-01, 0.000000000000000e+00, 0.000000000000000e+00, 6.369917202416365e+00
146, 3.634070343518966e-01, 1.458551445896497e-01, 8.562297874658018e-01, 0.000000000000000e+00, 0.000000000000000e+00, 6.372682980226792e+00
147, 3.663994123931309e-01, 1.457236643465813e-01, 8.565942984161459e-01, 0.000000000000000e+00, 0.000000000000000e+00, 6.375556289016219e+00
148, 3.693914995507893e-01, 1.455857190563351e-01, 8.570390858475091e-01, 0.000000000000000e+00, 0.000000000000000e+00, 6.378983604920103e+00
149, 3.723832837108938e-01, 1.454413504582482e-01, 8.574377068400850e-01, 0.000000000000000e+00, 0.000000000000000e+00, 6.382082087329983e+00
150, 3.753747529095738e-01, 1.452905993105334e-01, 8.578304195233825e-01, 0.000000000000000e+00, 0.000000000000000e+00, 6.385149311697777e+00
151, 3.783658958096451e-01, 1.451335056244569e-01, 8.582280331272852e-01, 0.000000000000000e+00, 0.000000000000000e+00, 6.388258556139343e+00
152, 3.813567011389498e-01, 1.449701102437079e-01, 8.586371037460285e-01, 0.000000000000000e+00, 0.000000000000000e+00, 6.391436170895939e+00
153, 3.843471576733939e-01, 1.448004530098406e-01, 8.590539342979346e-01, 0.000000000000000e+00, 0.000000000000000e+00, 6.394644440041547e+00
154, 3.873372546615252e-01, 1.446245722508738e-01, 8.594624322513196e-01, 0.000000000000000e+00, 0.000000000000000e+00, 6.397768278468710e+00
155, 3.903269814936947e-01, 1.444425055823572e-01, 8.598625792310234e-01, 0.000000000000000e+00, 0.000000000000000e+00, 6.400829816627041e+00
156, 3.933163275075829e-01, 1.442542911775449e-01, 8.602423048760958e-01, 0.000000000000000e+00, 0.000000000000000e+00, 6.403752297818165e+00
157, 3.963052826726238e-01, 1.440599673206960e-01, 8.606425941246865e-01, 0.000000000000000e+00, 0.000000000000000e+00, 6.406796988161570e+00
158, 3.992938366920202e-01, 1.438595701204811e-01, 8.610760061510402e-01, 0.000000000000000e+00, 0.000000000000000e+00, 6.410064491942763e+00
159, 4.022819798261340e-01, 1.436531349705523e-01, 8.615193359249242e-01, 0.000000000000000e+00, 0.000000000000000e+00, 6.413424710535807e+00
160, 4.052697022561875e-01, 1.434406975872546e-01, 8.619178980757745e-01, 0.000000000000000e+00, 0.000000000000000e+00, 6.416467102847502e+00
161, 4.082569944236049e-01, 1.432222947291485e-01, 8.623327569025110e-01, 0.000000000000000e+00, 0.000000000000000e+00, 6.419573330196510e+00
162, 4.112438470626977e-01, 1.429979604691601e-01, 8.627844197771919e-01, 0.000000000000000e+00, 0.000000000000000e+00, 6.422942116256579e+00
163, 4.142302508827944e-01, 1.427677281427900e-01, 8.631821199991694e-01, 0.000000000000000e+00, 0.000000000000000e+00, 6.425909507337666e+00
164, 4.172161968210348e-01, 1.425316312827647e-01, 8.636350158003001e-01, 0.000000000000000e+00, 0.000000000000000e+00, 6.429271970619598e+00
165, 4.202016761309435e-01, 1.422897050791315e-01, 8.640627385064261e-01, 0.000000000000000e+00, 0.000000000000000e+00, 6.432465835828186e+00
166, 4.231866799307736e-01, 1.420419817706440e-01, 8.644563517213143e-01, 0.000000000000000e+00, 0.000000000000000e+00, 6.435402276147043e+00
167, 4.261711996397696e-01, 1.417884927370223e-01, 8.648893679061702e-01, 0.000000000000000e+00, 0.000000000000000e+00, 6.438608753334202e+00
168, 4.291552268485667e-01, 1.415292695688335e-01, 8.653038487593824e-01, 0.000000000000000e+00, 0.000000000000000e+00, 6.441672742875484e+00
169, 4.321387533725421e-01, 1.412643459471071e-01, 8.657310760404070e-01, 0.000000000000000e+00, 0.000000000000000e+00, 6.444827760245107e+00
170, 4.351217709246006e-01, 1.409937523414576e-01, 8.661560369310655e-01, 0.000000000000000e+00, 0.000000000000000e+00, 6.447958104647419e+00
171, 4.381042715748426e-01, 1.407175182867815e-01, 8.665841837436293e-01, 0.000000000000000e+00, 0.000000000000000e+00, 6.451098928682612e+00
172, 4.410862471276993e-01, 1.404356736901047e-01, 8.670137899591617e-01, 0.000000000000000e+00, 0.000000000000000e+00, 6.454235954917287e+00
173, 4.440676902795418e-01, 1.401482507549801e-01, 8.674491169608453e-01, 0.000000000000000e+00, 0.000000000000000e+00, 6.457400735777599e+00
174, 4.470485931575441e-01, 1.398552782321731e-01, 8.678861577037706e-01, 0.000000000000000e+00, 0.000000000000000e+00, 6.460565912386294e+00
175, 4.500289481905737e-01, 1.395567839377552e-01, 8.683129314924376e-01, 0.000000000000000e+00, 0.000000000000000e+00, 6.463645168642448e+00
176, 4.530087479879201e-01, 1.392527962605677e-01, 8.687385552124379e-01, 0.000000000000000e+00, 0.000000000000000e+00, 6.466710270103775e+00
177, 4.559879854040371e-01, 1.389433460342394e-01, 8.691397057345021e-01, 0.000000000000000e+00, 0.000000000000000e+00, 6.469583745938114e+00
178, 4.589666532180871e-01, 1.386284602863688e-01, 8.695692462182406e-01, 0.000000000000000e+00, 0.000000000000000e+00, 6.472659132638264e+00
179, 4.619447442499293e-01, 1.383081652026154e-01, 8.699983442351384e-01, 0.000000000000000e+00, 0.000000000000000e+00, 6.475725001543557e+00
180, 4.649222515283245e-01, 1.379824879261581e-01, 8.704449327011735e-01, 0.000000000000000e+00, 0.000000000000000e+00, 6.478915810400746e+00
181, 4.678991684504712e-01, 1.376514578660820e-01, 8.708785150234479e-01, 0.000000000000000e+00, 0.000000000000000e+00, 6.482002949004186e+00
